%% logfile from robot Ella (8)
% Ella (8)
%  1    time 4.000 sec
%  2 .. 22 Edge sensor: left -2.660000 1, right 0.685029 1, values 2147 2711 2827 2939 2381 1685 1311 1101, white 1, used 1, LEDhigh=1, xb=0 xw=0 xbc=0 xwc=0 lvl=5 lvr=5       whitelevel=[2276 2639 2892 2996 2872 2671 2521 2194]       blacklevel=[0 0 0 0 0 0 19 33]
% 23 32 ctrl edge, ref=0.5, m=0.685029, m2=1.68664, uf=0, r2=0.5, ep=-0.237328,up=-0.0841262, ui=0, u1=-0.0841262, u=-0.0841262
4.152 -2.6600 1 1.1926 1  2169 2568 2832 2955 2574 2251 2037 1708  1 1 1 0 1 0 3 5 5 0.5 0.5 0.228145 0 0.5 0.054371 -0.0034119 0 -0.0034119 -0.0034119 
4.154 -2.6600 1 1.5692 1  2167 2447 2838 2797 2586 2320 2062 1878  1 1 1 0 0 0 3 5 5 0.5 0.5 0.295807 0 0.5 0.0408387 -0.00618206 0 -0.00618206 -0.00618206 
4.156 -2.6600 1 1.4329 1  2163 2777 2830 2902 2594 2275 2076 1818  1 1 1 0 0 0 1 5 5 0.5 0.5 0.346628 0 0.5 0.0306744 -0.00814411 0 -0.00814411 -0.00814411 
4.158 -2.6600 1 0.8349 1  2176 2455 2841 2908 2608 2122 2099 1872  1 1 1 0 0 0 1 5 5 0.5 0.834918 1.30024 0 0.5 -0.160048 -0.0715412 0 -0.0715412 -0.0715412 
4.160 -2.6600 1 1.8330 1  2162 2601 2839 3003 2622 2360 2114 1666  1 1 1 0 1 0 3 5 5 0.5 0.5 0.346389 0 0.5 0.0307221 -0.00766522 0 -0.00766522 -0.00766522 
4.162 -2.6600 1 1.9049 1  2178 2619 2833 3147 2626 2314 2129 1611  1 1 1 0 1 0 3 5 5 0.5 0.5 0.30483 0 0.5 0.039034 -0.00569761 0 -0.00569761 -0.00569761 
4.164 -2.6600 1 2.6636 1  2171 2686 2837 2918 2641 2356 2153 1862  1 1 1 0 1 0 3 5 5 0.5 0.5 0.353405 0 0.5 0.0293189 -0.00757987 0 -0.00757987 -0.00757987 
4.166 -2.6600 1 2.6682 1  2174 2671 2844 2859 2662 2360 2175 1874  1 1 1 0 0 0 3 5 5 0.5 0.5 0.389891 0 0.5 0.0220218 -0.00888546 0 -0.00888546 -0.00888546 
4.168 -2.6600 1 2.6905 1  2166 2676 2838 2914 2668 2393 2187 1929  1 1 1 0 1 0 5 5 5 0.5 0.5 0.417296 0 0.5 0.0165408 -0.00976144 0 -0.00976144 -0.00976144 
4.170 -2.6600 1 2.1834 1  2176 2442 2851 3129 2687 2478 2222 1712  1 1 1 0 1 0 5 5 5 0.5 0.5 0.43788 0 0.5 0.012424 -0.0103182 0 -0.0103182 -0.0103182 
4.172 -2.6600 1 2.7071 1  2168 2521 2846 2851 2697 2419 2241 1968  1 1 1 0 1 0 7 5 5 0.5 0.5 0.453341 0 0.5 0.00933182 -0.0106385 0 -0.0106385 -0.0106385 
4.174 -2.6600 1 2.7202 1  2209 2485 2826 2844 2693 2521 2250 2001  1 1 1 0 1 0 9 5 5 0.5 0.5 0.464954 0 0.5 0.00700927 -0.0107843 0 -0.0107843 -0.0107843 
4.176 -2.6600 1 2.7141 1  2177 2493 2855 2845 2726 2664 2282 1983  1 1 1 0 1 0 9 5 5 0.5 0.5 0.473676 0 0.5 0.00526476 -0.0108023 0 -0.0108023 -0.0108023 
4.178 -2.6600 1 2.6181 1  2182 2803 2850 2827 2729 2430 2290 1839  1 1 1 0 1 0 7 5 5 0.5 0.5 0.480228 0 0.5 0.00395446 -0.0107272 0 -0.0107272 -0.0107272 
4.180 -2.6600 1 2.7063 1  2174 2622 2846 2952 2739 2357 2311 1969  1 1 1 0 1 0 9 5 5 0.5 0.5 0.485149 0 0.5 0.00297027 -0.0105851 0 -0.0105851 -0.0105851 
4.182 -2.6600 1 2.6880 1  2187 2694 2859 3015 2759 2568 2339 1926  1 1 1 0 1 0 9 5 5 0.5 0.5 0.488845 0 0.5 0.00223103 -0.0103955 0 -0.0103955 -0.0103955 
4.184 -2.6600 1 2.6751 1  2148 2623 2857 3111 2771 2367 2345 1897  1 1 1 0 1 0 9 5 5 0.5 0.5 0.491621 0 0.5 0.00167577 -0.0101729 0 -0.0101729 -0.0101729 
4.186 -2.6600 1 2.6798 1  2205 2601 2842 2927 2750 2430 2353 1907  1 1 1 0 1 0 9 5 5 0.5 0.5 0.493706 0 0.5 0.00125871 -0.00992825 0 -0.00992825 -0.00992825 
4.188 -2.6600 1 2.6360 1  2171 2464 2851 2920 2775 2567 2375 1850  1 1 1 0 1 0 9 5 5 0.5 0.5 0.495273 0 0.5 0.000945449 -0.00966947 0 -0.00966947 -0.00966947 
4.190 -2.6600 1 2.6862 1  2186 2606 2854 3049 2788 2599 2391 1923  1 1 1 0 1 0 11 5 5 0.5 0.5 0.496449 0 0.5 0.000710154 -0.00940257 0 -0.00940257 -0.00940257 
4.192 -2.6600 1 2.6695 1  2183 2690 2855 3146 2793 2476 2399 1884  1 1 1 0 1 0 11 5 5 0.5 0.5 0.497333 0 0.5 0.000533438 -0.00913194 0 -0.00913194 -0.00913194 
4.194 -2.6600 1 2.7380 1  2194 2708 2852 3106 2805 2424 2415 2071  1 1 1 0 1 0 13 5 5 0.5 0.5 0.497997 0 0.5 0.000400686 -0.00886082 0 -0.00886082 -0.00886082 
4.196 -2.6600 1 2.7210 1  2180 2676 2854 3016 2812 2469 2428 2023  1 1 1 0 1 0 13 5 5 0.5 0.5 0.498495 0 0.5 0.00030098 -0.00859156 0 -0.00859156 -0.00859156 
4.198 -2.6600 1 2.6600 1  2183 2535 2853 2917 2815 2516 2432 2192  1 1 1 0 1 0 13 5 5 0.5 0.5 0.49887 0 0.5 0.000226092 -0.00832583 0 -0.00832583 -0.00832583 
4.200 -2.6600 1 2.6600 1  2184 2509 2854 2964 2827 2553 2443 2191  1 1 1 0 1 0 15 5 5 0.5 0.5 0.499151 0 0.5 0.000169849 -0.00806485 0 -0.00806485 -0.00806485 
