%% logfile from robot Ella (8)
% Ella (8)
%  1    time 3.844 sec
%  2 .. 22 Edge sensor: left -2.660000 1, right -0.264723 1, values 2201 2568 2565 2290 1840 1346 1442 1207, white 1, used 1, LEDhigh=1, xb=0 xw=0 xbc=0 xwc=0 lvl=5 lvr=5       whitelevel=[2276 2639 2892 2996 2872 2671 2521 2194]       blacklevel=[0 0 0 0 0 0 19 33]
% 23 32 ctrl edge, ref=0.5, m=-0.264723, m2=-0.714212, uf=0, r2=0.5, ep=0.242842,up=0.0838589, ui=0, u1=0.0838589, u=0.0838589
4.048 -2.6600 1 2.7141 1  2181 2609 3055 2999 2636 2497 2318 2013  1 1 1 0 1 0 7 5 5 0.5 0.5 0.416859 0 0.5 0.0166282 0.0154865 0 0.0154865 0.0154865 
4.050 -2.6600 1 2.7279 1  2211 2616 2926 3003 2823 2516 2334 2054  1 1 1 0 1 0 9 5 5 0.5 0.5 0.431941 0 0.5 0.0136118 0.0144834 0 0.0144834 0.0144834 
4.052 -2.6705 1 2.7261 1  1965 2616 2763 3012 2826 2539 2535 2048  1 1 1 0 1 0 11 5 5 0.5 0.5 0.444287 0 0.5 0.0111426 0.0136226 0 0.0136226 0.0136226 
4.054 -2.6600 1 2.7308 1  2208 2612 2829 3015 2880 2550 2465 2059  1 1 1 0 1 0 11 5 5 0.5 0.5 0.454394 0 0.5 0.00912128 0.0128791 0 0.0128791 0.0128791 
4.056 -2.7171 1 2.7347 1  2093 2622 2861 3029 2781 2569 2564 2071  1 1 1 0 1 0 13 5 5 0.5 0.5 0.462667 0 0.5 0.00746665 0.0122325 0 0.0122325 0.0122325 
4.058 -2.6600 1 2.7394 1  2186 2613 3029 3019 2911 2582 2331 2086  1 1 1 0 1 0 13 5 5 0.5 0.5 0.469439 0 0.5 0.00611219 0.0116661 0 0.0116661 0.0116661 
4.060 -2.6600 1 2.7394 1  2343 2615 2734 3023 2855 2596 2487 2088  1 1 1 0 1 0 13 5 5 0.5 0.5 0.474983 0 0.5 0.00500343 0.0111661 0 0.0111661 0.0111661 
4.062 -2.6600 1 2.6600 1  2222 2618 2877 3027 2856 2608 2517 2107  1 1 1 0 1 0 13 5 5 0.5 0.5 0.479521 0 0.5 0.00409579 0.0107213 0 0.0107213 0.0107213 
4.064 -2.6600 1 2.6600 1  2236 2614 2892 3025 2882 2612 2479 2110  1 1 1 0 1 0 15 5 5 0.5 0.5 0.483236 0 0.5 0.00335281 0.0103224 0 0.0103224 0.0103224 
4.066 -2.7001 1 2.6600 1  2048 2617 2929 3029 2967 2622 2558 2117  1 1 1 0 1 0 15 5 5 0.5 0.5 0.486277 0 0.5 0.00274463 0.00996193 0 0.00996193 0.00996193 
4.068 -2.6600 1 2.6600 1  2282 2621 2906 3034 2888 2635 2413 2132  1 1 1 0 1 0 15 5 5 0.5 0.5 0.488766 0 0.5 0.00224676 0.00963361 0 0.00963361 0.00963361 
4.070 -2.6600 1 2.6600 1  2235 2624 2929 3038 2834 2641 2535 2137  1 1 1 0 1 0 17 5 5 0.5 0.5 0.490804 0 0.5 0.00183921 0.00933234 0 0.00933234 0.00933234 
4.072 -2.6600 1 2.6600 1  2169 2623 2910 3036 3091 2645 2559 2142  1 1 1 0 1 0 19 5 5 0.5 0.5 0.492472 0 0.5 0.00150559 0.00905395 0 0.00905395 0.00905395 
4.074 -2.6600 1 2.6600 1  2454 2627 2887 3037 2840 2650 2451 2145  1 1 1 0 1 0 19 5 5 0.5 0.5 0.493838 0 0.5 0.00123248 0.00879496 0 0.00879496 0.00879496 
