%% logfile from robot Silke (54)
% log is empty
% Silke (54)
%  1    time 2.003 sec
%  2  3  4  5   (mission 0), state 2, entered (thread 1, line 1), events 0x0 (bit-flags)
%  6  7  8 Gyro x,y,z [deg/s]: 0.0305176 -2.2583 2.2583
%  9 10 Motor velocity ref left, right: 0.0338 0.0342
% 11 12 Wheel velocity [m/s] left, right: 0.0181 0.0125
% 13 14 15 16 Pose x,y,h,tilt [m,m,rad,rad]: 0.0355435 -3.92846e-05 0.00259112 -0.0107826
% 17 .. 37 Edge sensor: left 0.000000 0, right 0.000000 0, values 553 609 699 694 703 717 729 564, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=0 lvr=0       whitelevel=[923 1039 1179 1162 1189 1192 1201 920]       blacklevel=[132 155 174 173 174 176 174 137]
2.268 2 1 1 0 -1.037598 -7.476807 -1.495361 0.1367 0.1327 0.0518 0.0651 0.0335 -0.0000 0.002591 0.071813 0.0000 0 0.0000 0  673 730 853 855 866 879 906 701  1 1 0 0 0 0 0 0 0 
2.273 2 1 1 0 -0.854492 -5.065918 -2.227783 0.1481 0.1361 0.0610 0.0868 0.0339 -0.0000 0.002591 0.072100 0.0000 0 0.0000 0  652 744 856 827 864 883 876 697  1 1 0 0 0 0 0 0 0 
2.278 2 1 1 0 -0.640869 0.274658 -6.042480 0.1503 0.1283 0.0751 0.0807 0.0343 -0.0000 0.002591 0.072107 0.0000 0 0.0000 0  654 749 860 842 857 877 898 700  1 1 0 0 0 0 0 0 0 
2.283 2 1 1 0 -0.488281 3.448486 -6.378174 0.1552 0.1299 0.0904 0.0723 0.0347 -0.0000 0.002591 0.071612 0.0000 0 0.0000 0  680 746 858 857 842 880 930 700  1 1 0 0 0 0 0 0 0 
2.288 2 1 1 0 -0.762939 4.364014 -3.509521 0.1620 0.1449 0.1149 0.0799 0.0351 -0.0000 0.002591 0.070940 0.0000 0 0.0000 0  672 726 862 866 859 877 899 699  1 1 0 0 0 0 0 0 0 
2.293 2 1 1 0 0.000000 8.209229 -0.610352 0.1584 0.1524 0.0956 0.1032 0.0357 -0.0000 0.000000 0.069909 0.0000 0 0.0000 0  681 757 852 863 865 875 900 694  1 1 0 0 0 0 0 0 0 
2.298 2 1 1 0 0.213623 10.162354 1.159668 0.1642 0.1606 0.0823 0.0936 0.0361 -0.0000 0.000000 0.068648 0.0000 0 0.0000 0  655 745 856 854 853 874 891 689  1 1 0 0 0 0 0 0 0 
2.303 2 1 1 0 -1.037598 6.927490 -1.434326 0.1767 0.1771 0.1004 0.1072 0.0365 -0.0000 0.000000 0.067979 0.0000 0 0.0000 0  650 784 862 853 856 880 906 678  1 1 0 0 0 0 0 0 0 
2.308 2 1 1 0 -0.061035 9.704590 -2.624512 0.1885 0.1768 0.1157 0.1237 0.0372 -0.0000 0.002591 0.067087 0.0000 0 0.0000 0  662 720 864 839 830 879 887 700  1 1 0 0 0 0 0 0 0 
2.313 2 1 1 0 0.854492 15.258789 -0.061035 0.1900 0.1749 0.1297 0.1406 0.0380 -0.0000 0.002591 0.065535 0.0000 0 0.0000 0  667 768 856 850 862 871 897 696  1 1 0 0 0 0 0 0 0 
2.318 2 1 1 0 -0.732422 22.186279 -1.983643 0.1807 0.1655 0.1161 0.1285 0.0386 -0.0000 0.000000 0.063475 0.0000 0 0.0000 0  656 765 853 833 838 869 896 671  1 1 0 0 0 0 0 0 0 
2.323 2 1 1 0 0.335693 26.458740 -0.457764 0.1761 0.1529 0.1193 0.1173 0.0392 -0.0000 0.002591 0.060761 0.0000 0 0.0000 0  662 724 853 851 838 862 889 680  1 1 0 0 0 0 0 0 0 
2.328 2 1 1 0 1.403809 20.477295 1.770020 0.1870 0.1649 0.1317 0.1349 0.0398 -0.0000 0.000000 0.058593 0.0000 0 0.0000 0  665 759 851 847 843 859 866 678  1 1 0 0 0 0 0 0 0 
2.333 2 1 1 0 1.007080 16.326904 3.021240 0.2038 0.1794 0.1221 0.1651 0.0404 -0.0000 0.002591 0.056958 0.0000 0 0.0000 0  664 730 852 833 819 862 880 653  1 1 0 0 0 0 0 0 0 
2.338 2 1 1 0 1.281738 19.866943 7.080078 0.2038 0.1815 0.1643 0.1623 0.0412 -0.0000 0.002591 0.054992 0.0000 0 0.0000 0  663 737 841 827 842 853 853 637  1 1 0 0 0 0 0 0 0 
2.343 2 1 1 0 -0.701904 25.299072 1.525879 0.1957 0.1749 0.1370 0.1374 0.0420 -0.0000 0.002591 0.052868 0.0000 0 0.0000 0  657 743 835 823 851 848 861 677  1 1 0 0 0 0 0 0 0 
2.348 2 1 1 0 1.678467 26.916504 2.746582 0.1890 0.1802 0.1542 0.1036 0.0426 -0.0000 0.000000 0.050198 0.0000 0 0.0000 0  651 701 843 826 794 843 855 644  1 1 0 0 0 0 0 0 0 
2.353 2 1 1 0 1.617432 20.233154 4.699707 0.2038 0.2083 0.1892 0.1301 0.0434 -0.0000 0.000000 0.048396 0.0000 0 0.0000 0  658 726 833 816 813 837 852 635  1 1 0 0 0 0 0 0 0 
2.358 2 1 1 0 1.922607 18.188477 5.920410 0.2183 0.2205 0.1639 0.1976 0.0444 -0.0000 0.002591 0.046556 0.0000 0 0.0000 0  643 705 834 820 812 832 844 649  1 1 0 0 0 0 0 0 0 
2.363 2 1 1 0 1.678467 29.357910 -0.854492 0.2018 0.2022 0.1643 0.1639 0.0452 -0.0000 0.002591 0.044194 0.0000 0 0.0000 0  648 685 824 809 826 829 844 646  1 1 0 0 0 0 0 0 0 
2.368 2 1 1 0 -1.007080 35.034180 -4.272461 0.1895 0.1944 0.1663 0.1374 0.0460 -0.0000 -0.002591 0.041365 0.0000 0 0.0000 0  644 730 823 804 808 821 831 644  1 1 0 0 0 0 0 0 0 
2.373 2 1 1 0 -0.091553 30.273438 0.946045 0.1972 0.1961 0.1462 0.1562 0.0466 -0.0000 0.000000 0.038291 0.0000 0 0.0000 0  646 731 813 794 762 819 830 607  1 1 0 0 0 0 0 0 0 
