%% logfile from robot Karla (10)
% Karla (10)
%  1    time 2.002 sec
%  2  3  4  5   (mission 0), state 2, entered (thread 1, line 1), events 0x0 (bit-flags)
%  6  7 Wheel velocity [m/s] left, right: 0.0430 0.0434
%  8  9 10 11 Pose x,y,h,tilt [m,m,rad,rad]: 0.0234557 0.00259583 0.00259112 0.0357512
% 12 .. 32 Edge sensor: left -2.983517 0, right -0.952187 0, values 562 796 903 911 886 805 771 639, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=0 lvr=0       whitelevel=[884 1280 1410 1427 1392 1268 1229 999]       blacklevel=[119 163 174 182 180 171 150 124]
% 12 13 Get data time [us]: 100 +ctrl 460
2.377 2 1 1 0 0.1036 0.0976 0.0383 0.0025 -0.012956 0.099578 -2.9835 0 -0.9522 0  717 1016 1106 1062 1046 961 931 737  1 1 0 0 0 0 0 0 0 100 460 
2.382 2 1 1 0 0.0972 0.1092 0.0387 0.0025 -0.012956 0.100749 -4.1800 0 4.1800 0  714 1018 1102 1065 1030 946 933 754  1 1 0 0 0 0 0 0 0 100 450 
2.387 2 1 1 0 0.0908 0.0859 0.0391 0.0025 -0.012956 0.102016 -4.1800 0 4.1800 0  718 1041 1078 1065 1053 938 935 732  1 1 0 0 0 0 0 0 0 100 460 
2.392 2 1 1 0 0.1076 0.0659 0.0397 0.0025 -0.015547 0.103367 -4.1800 0 4.1800 0  720 1052 1116 1064 1041 991 937 735  1 1 0 0 0 0 0 0 0 100 470 
2.397 2 1 1 0 0.1221 0.1526 0.0403 0.0025 -0.012956 0.104658 -4.1800 0 -1.0608 1  722 1057 1105 1073 1049 977 938 735  1 1 0 0 0 0 0 0 1 100 510 
2.402 2 1 1 0 0.1277 0.1578 0.0411 0.0025 -0.012956 0.106082 -4.1800 0 -1.0608 0  718 1034 1117 1074 1043 992 942 747  1 1 0 0 0 0 0 0 0 100 470 
2.407 2 1 1 0 0.1181 0.1253 0.0415 0.0024 -0.012956 0.106617 -4.1800 0 -1.0608 0  716 1034 1137 1071 1042 977 942 760  1 1 0 0 0 0 0 0 0 100 450 
2.412 2 1 1 0 0.1161 0.0823 0.0421 0.0024 -0.015547 0.106640 -4.1800 0 -1.0608 0  722 1036 1094 1068 1038 957 939 745  1 1 0 0 0 0 0 0 0 100 470 
2.417 2 1 1 0 0.1462 0.1329 0.0429 0.0024 -0.015547 0.107173 -4.1800 0 -1.0608 0  718 1027 1084 1073 1051 966 940 735  1 1 0 0 0 0 0 0 0 100 460 
2.422 2 1 1 0 0.1530 0.1687 0.0435 0.0024 -0.012956 0.108106 -4.1800 0 -1.0608 0  717 1030 1129 1078 1067 988 935 738  1 1 0 0 0 0 0 0 0 100 470 
2.427 2 1 1 0 0.1554 0.1940 0.0443 0.0024 -0.012956 0.108873 -4.1800 0 -1.0608 0  716 1025 1114 1077 1062 997 948 759  1 1 0 0 0 0 0 0 0 100 450 
2.432 2 1 1 0 0.1434 0.1422 0.0451 0.0024 -0.012956 0.108607 -4.1800 0 -1.0608 0  714 1024 1141 1072 1065 980 942 732  1 1 0 0 0 0 0 0 0 100 460 
