%% logfile from robot Karla (10)
% Karla (10)
%  1    time 2.001 sec
%  2  3 Wheel velocity [m/s] left, right: -0.0627 -0.0454
%  4  5  6  7 Pose x,y,h,tilt [m,m,rad,rad]: -0.000608645 -0.000549157 0.00259112 -0.0153037
%  8 .. 28 Edge sensor: left 1.433686 0, right 4.180000 0, values 519 738 796 812 828 761 733 630, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=20 lvr=0       whitelevel=[884 1280 1410 1427 1392 1268 1229 999]       blacklevel=[119 163 174 182 180 171 150 124]
%  8  9 Get data time [us]: 100 +ctrl 460
2.310 0.0076 0.0056 -0.0096 -0.0006 0.005182 0.070471 1.4337 0 4.1800 0  637 897 985 956 946 887 895 759  1 1 0 0 0 0 0 20 0 100 450 
2.313 0.0072 0.0056 -0.0096 -0.0006 0.005182 0.071579 1.4337 0 4.1800 0  650 924 987 960 937 884 922 745  1 1 0 0 0 0 0 20 0 100 450 
2.316 0.0072 0.0394 -0.0092 -0.0006 0.005182 0.072759 1.4337 0 4.1800 0  639 948 990 995 912 889 939 749  1 1 0 0 0 0 0 20 0 100 450 
2.319 0.0072 0.0394 -0.0092 -0.0006 0.005182 0.073947 1.4337 0 4.1800 0  644 917 993 978 955 900 926 770  1 1 0 0 0 0 0 20 0 100 450 
2.322 0.0715 0.0394 -0.0090 -0.0006 0.002591 0.074906 1.4337 0 4.1800 0  654 868 998 970 943 896 902 759  1 1 0 0 0 0 0 20 0 100 440 
2.325 0.0675 0.0374 -0.0090 -0.0006 0.002591 0.075327 1.4337 0 4.1800 0  647 917 999 1008 926 890 931 766  1 1 0 0 0 0 0 20 0 100 450 
2.328 0.0446 0.0289 -0.0090 -0.0006 0.002591 0.075421 1.4337 0 4.1800 0  647 904 1001 1006 944 895 891 755  1 1 0 0 0 0 0 20 0 100 450 
2.331 0.0333 0.0237 -0.0090 -0.0006 0.002591 0.075506 1.4337 0 4.1800 0  653 929 1003 1004 944 896 893 753  1 1 0 0 0 0 0 20 0 100 460 
2.334 0.0265 0.0201 -0.0090 -0.0006 0.002591 0.076034 1.4337 0 4.1800 0  650 917 1006 984 944 902 909 784  1 1 0 0 0 0 0 20 0 100 450 
2.337 0.0221 0.0185 -0.0088 -0.0006 0.005182 0.077133 1.4337 0 4.1800 0  657 918 1006 984 970 897 910 774  1 1 0 0 0 0 0 20 0 100 460 
2.340 0.0213 0.0185 -0.0086 -0.0006 0.002591 0.078207 1.4337 0 4.1800 0  643 975 1009 989 986 901 912 765  1 1 0 0 0 0 0 20 0 100 450 
2.343 0.0213 0.0185 -0.0086 -0.0006 0.002591 0.079369 1.4337 0 4.1800 0  664 958 973 942 966 889 924 783  1 1 0 0 0 0 0 20 0 100 460 
2.346 0.0707 0.0390 -0.0082 -0.0006 0.002591 0.080384 1.4337 0 4.1800 0  659 901 1017 991 942 909 943 770  1 1 0 0 0 0 0 20 0 100 460 
2.349 0.0707 0.0390 -0.0082 -0.0006 0.002591 0.080684 1.4337 0 4.1800 0  657 904 1018 991 979 909 921 777  1 1 0 0 0 0 0 20 0 100 440 
2.352 0.0667 0.0390 -0.0080 -0.0006 0.000000 0.080527 1.4337 0 4.1800 0  648 932 1028 1001 969 911 956 771  1 1 0 0 0 0 0 20 0 100 420 
2.355 0.0667 0.0474 -0.0078 -0.0006 0.002591 0.080113 1.4337 0 4.1800 0  668 925 1016 1000 943 906 948 762  1 1 0 0 0 0 0 20 0 100 460 
2.358 0.0470 0.0474 -0.0076 -0.0006 0.000000 0.079708 1.4337 0 4.1800 0  661 961 1016 999 979 916 933 788  1 1 0 0 0 0 0 20 0 100 460 
2.361 0.0470 0.0474 -0.0076 -0.0006 0.000000 0.079503 1.4337 0 4.1800 0  667 966 1016 999 961 907 941 783  1 1 0 0 0 0 0 20 0 100 420 
2.364 0.0703 0.0426 -0.0072 -0.0006 0.000000 0.079622 1.4337 0 4.1800 0  661 892 1016 999 995 909 949 783  1 1 0 0 0 0 0 20 0 100 430 
2.367 0.0703 0.0426 -0.0072 -0.0006 0.000000 0.079948 1.4337 0 4.1800 0  665 946 1022 1003 978 910 930 772  1 1 0 0 0 0 0 20 0 100 420 
2.370 0.1084 0.0739 -0.0068 -0.0006 0.000000 0.080252 1.4337 0 4.1800 0  661 970 1019 1004 969 912 928 767  1 1 0 0 0 0 0 20 0 100 460 
2.373 0.0896 0.0739 -0.0066 -0.0006 -0.002591 0.080092 1.4337 0 4.1800 0  661 916 1028 1008 974 913 933 773  1 1 0 0 0 0 0 20 0 100 440 
2.376 0.0896 0.0691 -0.0064 -0.0006 0.000000 0.079415 1.4337 0 4.1800 0  663 919 1019 1003 951 914 940 745  1 1 0 0 0 0 0 20 0 100 400 
2.379 0.0663 0.0691 -0.0062 -0.0006 -0.002591 0.078605 1.4337 0 4.1800 0  665 939 1026 1005 988 913 945 759  1 1 0 0 0 0 0 20 0 100 450 
2.382 0.0663 0.0566 -0.0062 -0.0006 -0.002591 0.078168 1.4337 0 4.1800 0  660 926 1022 1004 986 911 943 782  1 1 0 0 0 0 0 20 0 100 460 
2.385 0.0663 0.0482 -0.0058 -0.0006 -0.002591 0.078374 1.4337 0 4.1800 0  665 954 1024 1001 980 919 948 783  1 1 0 0 0 0 0 20 0 100 450 
2.388 0.1024 0.0482 -0.0056 -0.0006 -0.005182 0.078491 1.4337 0 4.1800 0  667 915 1021 1007 992 922 931 772  1 1 0 0 0 0 0 20 0 100 460 
2.391 0.1024 0.0683 -0.0054 -0.0006 -0.002591 0.078920 1.8667 0 4.1800 0  667 941 1026 1009 1026 921 946 779  1 1 0 0 0 0 0 20 0 100 460 
2.394 0.1100 0.0683 -0.0052 -0.0006 -0.005182 0.079480 1.8667 0 4.1800 0  667 996 1015 1014 1017 917 952 812  1 1 0 0 0 0 0 20 0 100 450 
2.397 0.1289 0.0695 -0.0048 -0.0006 -0.005182 0.079383 1.8667 0 4.1800 0  667 955 999 1018 993 920 956 798  1 1 0 0 0 0 0 20 0 100 450 
2.400 0.1241 0.0787 -0.0044 -0.0006 -0.005182 0.078730 1.8667 0 4.1800 0  667 904 1035 1013 962 920 956 790  1 1 0 0 0 0 0 20 0 100 450 
2.403 0.1229 0.0787 -0.0042 -0.0006 -0.007773 0.077899 1.8667 0 4.1800 0  668 929 1015 1012 965 922 951 766  1 1 0 0 0 0 0 20 0 100 450 
2.406 0.0892 0.1024 -0.0038 -0.0006 -0.007773 0.077011 1.8667 0 4.1800 0  665 937 1035 1015 993 926 949 801  1 1 0 0 0 0 0 20 0 100 470 
2.409 0.0892 0.1080 -0.0036 -0.0006 -0.005182 0.076095 1.8667 0 4.1800 0  659 933 1026 1010 987 927 958 801  1 1 0 0 0 0 0 20 0 100 460 
